Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy ISO3A Code,Reporting Economy,Partner Economy Code,Partner Economy ISO3A Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2022,E,Estimate,,173379.3858
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,177709.3709
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,151320.6279
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,177873.855
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX4,Goods-related services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,3858.801823
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX4,Goods-related services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,4529.258433
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX4,Goods-related services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,6769.889047
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX4,Goods-related services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,5161.63446
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,3624834.2
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,3769207.8
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),GSOX,Memo item: Goods and commercial services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,2787608.2
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2020,,,,280628.7732
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2021,,,,394272.5727
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2023,,,,381120.576
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2022,,,,424056.4265
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2020,,,,17277.14145
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2023,,,,17557.84624
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2021,,,,19918.6675
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SA,Manufacturing services on physical inputs owned by others,A,Annual,A,Annual,USM,Million US dollar,2022,,,,20877.27309
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SB,Maintenance and repair services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2022,,,,8268.573883
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SB,Maintenance and repair services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2023,,,,9976.403251
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SB,Maintenance and repair services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2021,,,,8048.289091
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SB,Maintenance and repair services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2020,,,,7811.876554
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2021,,,,129355.0214
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2022,,,,144883.5606
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2023,,,,87072.19408
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2020,,,,57623.10316
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC1,Sea transport,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,,46318.60289
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC1,Sea transport,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,66364.64516
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC1,Sea transport,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,80289.09683
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC11,Passenger (Sea),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,15.511476
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC12,Freight (Sea),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,58989.34549
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC13,Other (Sea),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,7359.859206
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC2,Air transport,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,20186.37781
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC2,Air transport,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,39564.64298
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC2,Air transport,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,,10801.96759
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC21,Passenger (Air),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,7458.826617
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC22,Freight (Air),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,7101.770992
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC23,Other (Air),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,5625.768238
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC3,Other modes of transport,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,,502.532681
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC3,Other modes of transport,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,6305.846587
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC3,Other modes of transport,A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,521.044445
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC31,Passenger (Other),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,0
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC32,Freight (Other),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,0
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC33,Other (Other),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,521.044445
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC4,Postal and courier services,A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,3195.413605
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC4,Postal and courier services,A,Annual,A,Annual,USM,Million US dollar,2020,E,Estimate,,0
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2021,E,Estimate,,8159.854089
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner ? annual,156,CHN,China,000,,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2023,E,Estimate,,7474.338093
